nom,prenom,filière,Campus,Annee,email
Zaria,Amasa,GArt,Lyon,2A,Zaria.Amasa@ican-school.com
Carly,Soneson,GProgramming,Paris,3A,Carly.Soneson@ican-school.com
Ardenia,Ricki,GProgramming,Lyon,3A,Ardenia.Ricki@ican-school.com
Angela,Barney,GDesign,Bordeaux,3A,Angela.Barney@ican-school.com
Babita,Ader,Communication,Lille,3A,Babita.Ader@ican-school.com
Jessy,Daniele,Concept Art,Bordeaux,M2,Jessy.Daniele@ican-school.com
Alyda,Susannah,Narrative Design,Remote,1A,Alyda.Susannah@ican-school.com
Inga,Idelia,GArt,Lille,M1,Inga.Idelia@ican-school.com
Odessa,Pitt,GArt,Bordeaux,M2,Odessa.Pitt@ican-school.com
Lyssa,Eldrid,GDesign,Bordeaux,2A,Lyssa.Eldrid@ican-school.com
Rosaline,Gualtiero,GProgramming,Lyon,M1,Rosaline.Gualtiero@ican-school.com
Janenna,Melan,Communication,Remote,2A,Janenna.Melan@ican-school.com
Kellen,Tremayne,Communication,Lille,2A,Kellen.Tremayne@ican-school.com
Di,Haldas,Concept Art,Remote,2A,Di.Haldas@ican-school.com
Carol-Jean,Byrne,GProgramming,Bordeaux,3A,Carol-Jean.Byrne@ican-school.com
Britni,Mintz,GArt,Lyon,2A,Britni.Mintz@ican-school.com
Corene,Jagir,Narrative Design,Remote,3A,Corene.Jagir@ican-school.com
Correy,Septima,GDesign,Remote,2A,Correy.Septima@ican-school.com
Caressa,Cimbura,Narrative Design,Paris,M2,Caressa.Cimbura@ican-school.com
Sam,Mendez,GDesign,Bordeaux,2A,Sam.Mendez@ican-school.com
Katharina,Heidt,Narrative Design,Remote,M1,Katharina.Heidt@ican-school.com
Andree,Eliathas,GDesign,Remote,1A,Andree.Eliathas@ican-school.com
Barbi,Ardeha,GDesign,Remote,3A,Barbi.Ardeha@ican-school.com
Ruthe,Sherfield,GProgramming,Bordeaux,3A,Ruthe.Sherfield@ican-school.com
Edith,Amasa,Communication,Paris,M2,Edith.Amasa@ican-school.com
Tatiania,Wenoa,GArt,Bordeaux,2A,Tatiania.Wenoa@ican-school.com
Christy,Raychel,Concept Art,Remote,M1,Christy.Raychel@ican-school.com
Juliane,Cherianne,GDesign,Paris,M2,Juliane.Cherianne@ican-school.com
Charmaine,Kellby,Concept Art,Lille,M1,Charmaine.Kellby@ican-school.com
Barbara,Papageno,Animation,Bordeaux,M2,Barbara.Papageno@ican-school.com
Sarette,Margret,Animation,Paris,2A,Sarette.Margret@ican-school.com
Marcy,Tayib,GProgramming,Paris,M1,Marcy.Tayib@ican-school.com
Vinita,Cornelia,Animation,Paris,1A,Vinita.Cornelia@ican-school.com
Lauryn,Anton,GProgramming,Remote,M2,Lauryn.Anton@ican-school.com
Fanchon,Syd,Animation,Paris,2A,Fanchon.Syd@ican-school.com
Corry,Elisha,Narrative Design,Lille,1A,Corry.Elisha@ican-school.com
Danika,Elbertina,GDesign,Bordeaux,3A,Danika.Elbertina@ican-school.com
Fayre,Holtz,GProgramming,Lyon,3A,Fayre.Holtz@ican-school.com
Marcy,Ludewig,GProgramming,Remote,M1,Marcy.Ludewig@ican-school.com
Maryellen,Mehalek,GDesign,Remote,1A,Maryellen.Mehalek@ican-school.com
Lynea,Bultman,GDesign,Bordeaux,M1,Lynea.Bultman@ican-school.com
Goldie,Nickola,GProgramming,Paris,3A,Goldie.Nickola@ican-school.com
Janeczka,Maribeth,Concept Art,Bordeaux,1A,Janeczka.Maribeth@ican-school.com
Kelly,Standing,GProgramming,Bordeaux,2A,Kelly.Standing@ican-school.com
June,Friede,Concept Art,Paris,M1,June.Friede@ican-school.com
Jackie,Hunfredo,GProgramming,Lille,M1,Jackie.Hunfredo@ican-school.com
Mellicent,Mauer,Concept Art,Lyon,2A,Mellicent.Mauer@ican-school.com
Eadie,Freddi,Narrative Design,Bordeaux,M1,Eadie.Freddi@ican-school.com
Cyb,Taima,GProgramming,Remote,M1,Cyb.Taima@ican-school.com
Doralynne,Wilkinson,Narrative Design,Paris,M1,Doralynne.Wilkinson@ican-school.com
Ileana,Ariella,Animation,Lyon,M1,Ileana.Ariella@ican-school.com
Catharine,Meter,GDesign,Remote,3A,Catharine.Meter@ican-school.com
Alexine,Prober,Communication,Bordeaux,M2,Alexine.Prober@ican-school.com
Alyda,Gibbeon,GArt,Lille,1A,Alyda.Gibbeon@ican-school.com
Sherrie,Saree,Communication,Bordeaux,M1,Sherrie.Saree@ican-school.com
Modestia,Marlie,GArt,Bordeaux,2A,Modestia.Marlie@ican-school.com
Margette,Ruvolo,Narrative Design,Paris,2A,Margette.Ruvolo@ican-school.com
Tarra,Merat,Animation,Paris,3A,Tarra.Merat@ican-school.com
Moyna,Andrel,Animation,Lille,3A,Moyna.Andrel@ican-school.com
Catharine,Sprage,GArt,Remote,2A,Catharine.Sprage@ican-school.com
Oona,Maribeth,GDesign,Bordeaux,M1,Oona.Maribeth@ican-school.com
Celisse,Rustice,GProgramming,Bordeaux,2A,Celisse.Rustice@ican-school.com
Marleah,Nikaniki,Animation,Lille,M2,Marleah.Nikaniki@ican-school.com
Kara-Lynn,Peonir,GProgramming,Lille,M2,Kara-Lynn.Peonir@ican-school.com
Vivia,Havens,Communication,Paris,2A,Vivia.Havens@ican-school.com
Hollie,Brieta,Narrative Design,Bordeaux,2A,Hollie.Brieta@ican-school.com
Florencia,Margarete,Concept Art,Lille,M2,Florencia.Margarete@ican-school.com
Lesly,Ehrman,GDesign,Lyon,2A,Lesly.Ehrman@ican-school.com
Arlina,Jeanne,GDesign,Lille,3A,Arlina.Jeanne@ican-school.com
Aimil,Fontana,Concept Art,Bordeaux,1A,Aimil.Fontana@ican-school.com
Blake,Ioab,Animation,Paris,1A,Blake.Ioab@ican-school.com
Florie,Flita,Concept Art,Paris,M1,Florie.Flita@ican-school.com
Winifred,Valerio,GDesign,Remote,1A,Winifred.Valerio@ican-school.com
Riannon,Bach,Narrative Design,Paris,3A,Riannon.Bach@ican-school.com
Mildrid,Goth,GProgramming,Bordeaux,M2,Mildrid.Goth@ican-school.com
Nanete,Craggie,Concept Art,Bordeaux,1A,Nanete.Craggie@ican-school.com
Harmonia,Rillings,GProgramming,Bordeaux,M2,Harmonia.Rillings@ican-school.com
Gui,Brunell,GProgramming,Bordeaux,3A,Gui.Brunell@ican-school.com
Aurore,Read,GArt,Lille,M1,Aurore.Read@ican-school.com
Annora,Gunn,Concept Art,Bordeaux,3A,Annora.Gunn@ican-school.com
Fina,Masao,Animation,Bordeaux,2A,Fina.Masao@ican-school.com
Cissiee,Baudin,GProgramming,Bordeaux,1A,Cissiee.Baudin@ican-school.com
Jessy,Claudine,GArt,Lyon,1A,Jessy.Claudine@ican-school.com
Susan,Judye,GDesign,Bordeaux,2A,Susan.Judye@ican-school.com
Tobe,Ehrman,GProgramming,Paris,1A,Tobe.Ehrman@ican-school.com
Ottilie,Sekofski,Animation,Remote,1A,Ottilie.Sekofski@ican-school.com
Florie,Kress,GArt,Bordeaux,M2,Florie.Kress@ican-school.com
Adriana,Sheng,Communication,Bordeaux,1A,Adriana.Sheng@ican-school.com
Jordan,Elbertina,Concept Art,Paris,M1,Jordan.Elbertina@ican-school.com
Zia,Gamaliel,Animation,Paris,M2,Zia.Gamaliel@ican-school.com
Kayla,Wolfgram,GDesign,Bordeaux,3A,Kayla.Wolfgram@ican-school.com
Corina,Cherianne,GProgramming,Lille,3A,Corina.Cherianne@ican-school.com
Annecorinne,Dawkins,Communication,Paris,1A,Annecorinne.Dawkins@ican-school.com
Marline,Clywd,Animation,Paris,M1,Marline.Clywd@ican-school.com
Latisha,Anderea,Animation,Paris,3A,Latisha.Anderea@ican-school.com
Sybille,Ashok,GProgramming,Lille,M2,Sybille.Ashok@ican-school.com
Celisse,Wu,Animation,Paris,M1,Celisse.Wu@ican-school.com
Ricky,Dorine,Narrative Design,Bordeaux,M2,Ricky.Dorine@ican-school.com
Valeda,Jethro,Narrative Design,Lille,2A,Valeda.Jethro@ican-school.com
Paulita,Sacken,Concept Art,Lille,2A,Paulita.Sacken@ican-school.com
Willetta,Lesley,Concept Art,Paris,1A,Willetta.Lesley@ican-school.com
Charlena,Love,Concept Art,Lyon,3A,Charlena.Love@ican-school.com
Lorenza,Edee,Narrative Design,Bordeaux,M1,Lorenza.Edee@ican-school.com
Consuela,Flyn,Animation,Lyon,1A,Consuela.Flyn@ican-school.com
Alex,Ricki,Concept Art,Lyon,M1,Alex.Ricki@ican-school.com
Lucille,Niccolo,GArt,Lyon,3A,Lucille.Niccolo@ican-school.com
Ricky,Barbey,Narrative Design,Lille,M1,Ricky.Barbey@ican-school.com
Joceline,Schalles,Animation,Remote,3A,Joceline.Schalles@ican-school.com
Letizia,Kenwood,Narrative Design,Bordeaux,2A,Letizia.Kenwood@ican-school.com
Latisha,Douglass,GDesign,Bordeaux,2A,Latisha.Douglass@ican-school.com
Aaren,Tannie,Concept Art,Lyon,3A,Aaren.Tannie@ican-school.com
Vanessa,Nickola,Narrative Design,Lille,2A,Vanessa.Nickola@ican-school.com
Letizia,Euridice,GArt,Lyon,M1,Letizia.Euridice@ican-school.com
Frances,Amasa,Communication,Lille,M1,Frances.Amasa@ican-school.com
Emilia,Greenwald,Concept Art,Lille,3A,Emilia.Greenwald@ican-school.com
Latisha,Kat,GDesign,Paris,3A,Latisha.Kat@ican-school.com
Cristabel,Magdalen,Communication,Paris,1A,Cristabel.Magdalen@ican-school.com
Dorene,Taam,Concept Art,Lyon,1A,Dorene.Taam@ican-school.com
Myrtice,Bonucci,Concept Art,Lille,M2,Myrtice.Bonucci@ican-school.com
Maurene,Kesley,Concept Art,Remote,3A,Maurene.Kesley@ican-school.com
Beverley,Even,Narrative Design,Lille,3A,Beverley.Even@ican-school.com
Merry,Kolnick,GDesign,Remote,M2,Merry.Kolnick@ican-school.com
Lila,Carey,Concept Art,Remote,2A,Lila.Carey@ican-school.com
Minne,Zitvaa,Narrative Design,Paris,3A,Minne.Zitvaa@ican-school.com
Kayla,Alarise,Communication,Paris,3A,Kayla.Alarise@ican-school.com
Teddie,Vacuva,GArt,Remote,2A,Teddie.Vacuva@ican-school.com
Shirlee,Odysseus,GProgramming,Bordeaux,2A,Shirlee.Odysseus@ican-school.com
Fanchon,Janith,Animation,Paris,M1,Fanchon.Janith@ican-school.com
Philis,Joeann,GDesign,Remote,1A,Philis.Joeann@ican-school.com
Sharai,Rebecka,Concept Art,Paris,1A,Sharai.Rebecka@ican-school.com
Gusella,Francene,Animation,Remote,M1,Gusella.Francene@ican-school.com
Corina,Maisey,Animation,Paris,3A,Corina.Maisey@ican-school.com
Charmaine,O'Carroll,GProgramming,Lyon,M1,Charmaine.O'Carroll@ican-school.com
Jenilee,Xerxes,Communication,Paris,1A,Jenilee.Xerxes@ican-school.com
Dorice,Lunsford,Narrative Design,Paris,M1,Dorice.Lunsford@ican-school.com
Stephanie,Andrel,Communication,Bordeaux,M1,Stephanie.Andrel@ican-school.com
Deedee,Thad,GProgramming,Lyon,M1,Deedee.Thad@ican-school.com
Glenda,Jalbert,Concept Art,Paris,3A,Glenda.Jalbert@ican-school.com
Phylis,Cassius,GProgramming,Lyon,1A,Phylis.Cassius@ican-school.com
Jessy,Tryck,Animation,Bordeaux,1A,Jessy.Tryck@ican-school.com
Ira,Horan,GProgramming,Lyon,2A,Ira.Horan@ican-school.com
Ivett,Gavrila,GProgramming,Lyon,3A,Ivett.Gavrila@ican-school.com
Sheelagh,Taima,GProgramming,Lyon,3A,Sheelagh.Taima@ican-school.com
Lorie,Vivle,Animation,Lille,1A,Lorie.Vivle@ican-school.com
Cherilyn,Palocz,Concept Art,Lille,3A,Cherilyn.Palocz@ican-school.com
Ursulina,Berriman,Communication,Remote,M2,Ursulina.Berriman@ican-school.com
Frieda,Oneida,Narrative Design,Lyon,1A,Frieda.Oneida@ican-school.com
Gilligan,Quent,GDesign,Paris,3A,Gilligan.Quent@ican-school.com
Kylynn,Faust,Narrative Design,Paris,3A,Kylynn.Faust@ican-school.com
Clementine,Ephrem,GDesign,Remote,3A,Clementine.Ephrem@ican-school.com
Jillayne,Eben,Animation,Paris,1A,Jillayne.Eben@ican-school.com
Dode,Pacorro,GProgramming,Bordeaux,M1,Dode.Pacorro@ican-school.com
Mariann,Naashom,Concept Art,Paris,M1,Mariann.Naashom@ican-school.com
Brietta,Yerkovich,Communication,Paris,2A,Brietta.Yerkovich@ican-school.com
Feliza,Eno,Concept Art,Bordeaux,M1,Feliza.Eno@ican-school.com
Hollie,Astra,Narrative Design,Lyon,3A,Hollie.Astra@ican-school.com
Lily,Tippets,Concept Art,Lille,M1,Lily.Tippets@ican-school.com
Dolli,Wandie,Concept Art,Bordeaux,2A,Dolli.Wandie@ican-school.com
Myrtice,Uird,GDesign,Remote,M2,Myrtice.Uird@ican-school.com
Averyl,Eno,Animation,Bordeaux,3A,Averyl.Eno@ican-school.com
Consuela,Killigrew,GProgramming,Paris,M1,Consuela.Killigrew@ican-school.com
Augustine,Geffner,Concept Art,Remote,M1,Augustine.Geffner@ican-school.com
Theodora,Blake,GProgramming,Lyon,M2,Theodora.Blake@ican-school.com
Kore,Helfand,Animation,Paris,M1,Kore.Helfand@ican-school.com
Lexine,Nerita,GArt,Remote,3A,Lexine.Nerita@ican-school.com
Jillayne,Lamoree,Communication,Bordeaux,M2,Jillayne.Lamoree@ican-school.com
Dorthy,Holbrook,Communication,Bordeaux,M1,Dorthy.Holbrook@ican-school.com
Jessy,Friede,GDesign,Remote,M1,Jessy.Friede@ican-school.com
Dianemarie,Israeli,GProgramming,Remote,M1,Dianemarie.Israeli@ican-school.com
Alex,Chick,Concept Art,Lille,3A,Alex.Chick@ican-school.com
Kelly,Hanshaw,GProgramming,Remote,1A,Kelly.Hanshaw@ican-school.com
Zsa Zsa,Cristi,Animation,Bordeaux,1A,Zsa Zsa.Cristi@ican-school.com
Ezmeralda,Riva,GArt,Paris,1A,Ezmeralda.Riva@ican-school.com
Katuscha,Cecile,GArt,Paris,M1,Katuscha.Cecile@ican-school.com
Brietta,Alwin,GDesign,Lille,M1,Brietta.Alwin@ican-school.com
Jacenta,Carmena,Communication,Bordeaux,M2,Jacenta.Carmena@ican-school.com
Nadine,Lane,GArt,Lyon,2A,Nadine.Lane@ican-school.com
Tierney,Voletta,GProgramming,Lyon,M2,Tierney.Voletta@ican-school.com
Luci,Jacinda,Narrative Design,Lille,2A,Luci.Jacinda@ican-school.com
Lilith,Ursulette,Communication,Paris,3A,Lilith.Ursulette@ican-school.com
Sherrie,Hutchison,Narrative Design,Lyon,1A,Sherrie.Hutchison@ican-school.com
Reeba,Thema,Narrative Design,Bordeaux,1A,Reeba.Thema@ican-school.com
Konstance,Maroney,GProgramming,Remote,3A,Konstance.Maroney@ican-school.com
Dorene,Holbrook,Concept Art,Paris,2A,Dorene.Holbrook@ican-school.com
Aigneis,Thomasina,GDesign,Lille,1A,Aigneis.Thomasina@ican-school.com
Florie,Ariella,GArt,Remote,M2,Florie.Ariella@ican-school.com
Marylou,Podvin,GDesign,Lille,M1,Marylou.Podvin@ican-school.com
Raf,Rooney,GArt,Remote,3A,Raf.Rooney@ican-school.com
Oralee,Erskine,GArt,Lyon,1A,Oralee.Erskine@ican-school.com
Emelina,Vacuva,GProgramming,Lyon,2A,Emelina.Vacuva@ican-school.com
Madeleine,Arley,GDesign,Lyon,2A,Madeleine.Arley@ican-school.com
Lizzie,Guthrie,Concept Art,Remote,M2,Lizzie.Guthrie@ican-school.com
Tina,Chobot,GProgramming,Paris,1A,Tina.Chobot@ican-school.com
Briney,Bertold,Communication,Remote,1A,Briney.Bertold@ican-school.com
Dorothy,Lenny,GArt,Bordeaux,M1,Dorothy.Lenny@ican-school.com
Roberta,Bates,GProgramming,Paris,1A,Roberta.Bates@ican-school.com
Gilda,Ulphia,Narrative Design,Remote,2A,Gilda.Ulphia@ican-school.com
Marsiella,Madox,Animation,Bordeaux,3A,Marsiella.Madox@ican-school.com
Clary,Sibyls,Concept Art,Remote,M2,Clary.Sibyls@ican-school.com
Reeba,Esmaria,Communication,Bordeaux,3A,Reeba.Esmaria@ican-school.com
Max,Loleta,GProgramming,Lyon,M1,Max.Loleta@ican-school.com
Christal,Gualtiero,GArt,Bordeaux,2A,Christal.Gualtiero@ican-school.com
Zondra,Pip,Narrative Design,Paris,1A,Zondra.Pip@ican-school.com
Norine,Celestine,Concept Art,Lyon,1A,Norine.Celestine@ican-school.com
Janenna,Ephrem,GArt,Remote,2A,Janenna.Ephrem@ican-school.com
Meg,Bennie,GProgramming,Bordeaux,3A,Meg.Bennie@ican-school.com
Lyssa,Yoko,GDesign,Lyon,M1,Lyssa.Yoko@ican-school.com
Marnia,Anastatius,Animation,Lille,M2,Marnia.Anastatius@ican-school.com
Kathy,Franza,GProgramming,Bordeaux,1A,Kathy.Franza@ican-school.com
Jillayne,Kare,Narrative Design,Lyon,2A,Jillayne.Kare@ican-school.com
Lanae,Khorma,Narrative Design,Lille,M2,Lanae.Khorma@ican-school.com
Shell,Means,Narrative Design,Bordeaux,3A,Shell.Means@ican-school.com
Kary,Gombach,GArt,Remote,2A,Kary.Gombach@ican-school.com
Gianina,Mendez,Animation,Remote,2A,Gianina.Mendez@ican-school.com
Fidelia,Fadiman,Animation,Lille,1A,Fidelia.Fadiman@ican-school.com
Misha,Brady,Narrative Design,Remote,M1,Misha.Brady@ican-school.com
Norine,Devlen,Concept Art,Lille,3A,Norine.Devlen@ican-school.com
Jessy,Schonfeld,GArt,Paris,1A,Jessy.Schonfeld@ican-school.com
Ardenia,McGrody,GProgramming,Lille,2A,Ardenia.McGrody@ican-school.com
Felice,Bigner,Communication,Paris,M2,Felice.Bigner@ican-school.com
Roz,Lubin,Narrative Design,Paris,M1,Roz.Lubin@ican-school.com
Kerrin,Meli,Animation,Lyon,3A,Kerrin.Meli@ican-school.com
Courtnay,Alabaster,Narrative Design,Lille,1A,Courtnay.Alabaster@ican-school.com
Suzette,Aurelio,Animation,Lyon,M2,Suzette.Aurelio@ican-school.com
Lynde,Alcott,Communication,Lille,M2,Lynde.Alcott@ican-school.com
Elsie,Gualtiero,GArt,Paris,2A,Elsie.Gualtiero@ican-school.com
Anica,Diogenes,GDesign,Lille,2A,Anica.Diogenes@ican-school.com
Noelle,Sheng,Animation,Lyon,2A,Noelle.Sheng@ican-school.com
Jinny,Nikaniki,GProgramming,Lille,1A,Jinny.Nikaniki@ican-school.com
Yetty,Anestassia,Concept Art,Paris,M1,Yetty.Anestassia@ican-school.com
Rosabelle,Abernon,Animation,Lyon,2A,Rosabelle.Abernon@ican-school.com
Grier,Mullane,Concept Art,Bordeaux,3A,Grier.Mullane@ican-school.com
Correy,Thunell,GArt,Remote,M2,Correy.Thunell@ican-school.com
Perry,Katrine,Concept Art,Bordeaux,1A,Perry.Katrine@ican-school.com
Mildrid,Adalbert,Narrative Design,Lille,1A,Mildrid.Adalbert@ican-school.com
Alisha,Merell,Communication,Remote,M1,Alisha.Merell@ican-school.com
Gerianna,Orlene,Communication,Lyon,M2,Gerianna.Orlene@ican-school.com
Rosabelle,Knowling,Animation,Lyon,3A,Rosabelle.Knowling@ican-school.com
Abbie,Margret,Communication,Lille,M2,Abbie.Margret@ican-school.com
Asia,Ries,GArt,Lille,3A,Asia.Ries@ican-school.com
Caritta,Katrine,GArt,Paris,1A,Caritta.Katrine@ican-school.com
Alex,Rad,GProgramming,Lyon,1A,Alex.Rad@ican-school.com
Elbertina,Elo,GProgramming,Paris,1A,Elbertina.Elo@ican-school.com
Michaelina,Maiah,Narrative Design,Lyon,M1,Michaelina.Maiah@ican-school.com
Gusty,Esmaria,GArt,Paris,M1,Gusty.Esmaria@ican-school.com
Dyann,Emmaline,Animation,Lyon,1A,Dyann.Emmaline@ican-school.com
Correy,O'Rourke,GArt,Lyon,2A,Correy.O'Rourke@ican-school.com
Kittie,Fennessy,Narrative Design,Lyon,1A,Kittie.Fennessy@ican-school.com
Amara,Diogenes,Narrative Design,Lille,2A,Amara.Diogenes@ican-school.com
Melisent,Brady,GProgramming,Lille,M1,Melisent.Brady@ican-school.com
Louella,Thilda,Narrative Design,Paris,2A,Louella.Thilda@ican-school.com
Viki,Maroney,Concept Art,Lyon,M2,Viki.Maroney@ican-school.com
Frieda,Harday,Communication,Lille,M2,Frieda.Harday@ican-school.com
Basia,Joli,GDesign,Lille,1A,Basia.Joli@ican-school.com
Siana,Abbot,GProgramming,Paris,1A,Siana.Abbot@ican-school.com
Ardys,Sibyls,GDesign,Bordeaux,M1,Ardys.Sibyls@ican-school.com
Blinni,Redmond,GDesign,Lille,3A,Blinni.Redmond@ican-school.com
Justinn,Diogenes,Concept Art,Lille,2A,Justinn.Diogenes@ican-school.com
Ursulina,Ethban,GProgramming,Bordeaux,M1,Ursulina.Ethban@ican-school.com
Hannis,Merell,GArt,Lille,2A,Hannis.Merell@ican-school.com
Kirstin,Baylor,Narrative Design,Lille,3A,Kirstin.Baylor@ican-school.com
Olivette,Sinegold,GArt,Bordeaux,3A,Olivette.Sinegold@ican-school.com
Adelle,Trace,Communication,Bordeaux,2A,Adelle.Trace@ican-school.com
Jordan,Brittani,GProgramming,Bordeaux,2A,Jordan.Brittani@ican-school.com
Halette,Cordi,Animation,Paris,3A,Halette.Cordi@ican-school.com
Dianemarie,Fairweather,Narrative Design,Paris,M2,Dianemarie.Fairweather@ican-school.com
Margette,Ciro,Concept Art,Lille,3A,Margette.Ciro@ican-school.com
Ursulina,Ciapas,GProgramming,Lille,2A,Ursulina.Ciapas@ican-school.com
Tina,Gregrory,GProgramming,Lyon,1A,Tina.Gregrory@ican-school.com
Ingrid,Auberbach,Animation,Bordeaux,3A,Ingrid.Auberbach@ican-school.com
Annaliese,Juan,GDesign,Paris,2A,Annaliese.Juan@ican-school.com
Lorne,Syd,Concept Art,Lille,M2,Lorne.Syd@ican-school.com
Alejandra,Leonard,Concept Art,Lyon,2A,Alejandra.Leonard@ican-school.com
Riannon,Alabaster,Communication,Lyon,2A,Riannon.Alabaster@ican-school.com
Ronna,Read,GProgramming,Lille,M2,Ronna.Read@ican-school.com
Jemie,Wittie,Communication,Lille,3A,Jemie.Wittie@ican-school.com
Rosene,Linehan,Animation,Remote,M2,Rosene.Linehan@ican-school.com
Hettie,Barrus,Concept Art,Bordeaux,M2,Hettie.Barrus@ican-school.com
Elbertina,Denis,Narrative Design,Remote,1A,Elbertina.Denis@ican-school.com
Cassandra,Bouchard,Concept Art,Lille,M1,Cassandra.Bouchard@ican-school.com
Tiffie,Annabella,Communication,Remote,M2,Tiffie.Annabella@ican-school.com
Adelle,Raffo,GProgramming,Lille,M1,Adelle.Raffo@ican-school.com
Gusty,Turne,Communication,Bordeaux,M2,Gusty.Turne@ican-school.com
Sam,Iaverne,Communication,Remote,M2,Sam.Iaverne@ican-school.com
Phedra,Turne,Communication,Paris,3A,Phedra.Turne@ican-school.com
Ida,Jerold,Animation,Remote,2A,Ida.Jerold@ican-school.com
Constance,Estella,GDesign,Lille,1A,Constance.Estella@ican-school.com
Kittie,Romelda,GArt,Lille,2A,Kittie.Romelda@ican-school.com
Renae,Leary,GProgramming,Lyon,1A,Renae.Leary@ican-school.com
Flo,Rolf,GDesign,Lille,1A,Flo.Rolf@ican-school.com
Tonia,Constancy,GDesign,Bordeaux,M1,Tonia.Constancy@ican-school.com
Merle,Ailyn,Animation,Remote,2A,Merle.Ailyn@ican-school.com
Bertine,Emmy,GProgramming,Remote,M1,Bertine.Emmy@ican-school.com
Taffy,Bartlett,GDesign,Paris,M1,Taffy.Bartlett@ican-school.com
